,payoutChange,divGrowth,payoutAvg, debtEquityAvg ,netMarginAvg,roicAvg, debtToEquity ,52WeekChange,SandP52WeekChange,auditRisk, beta ,boardRisk, bookValue ,compensationRisk, currentPrice , currentRatio ,debtToEquity,earningsGrowth,earningsQuarterlyGrowth, ebitda ,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue, enterpriseValue ,financialCurrency, floatShares , forwardEps , forwardPE , freeCashflow , fullTimeEmployees ,grossMargins, grossProfits ,heldPercentInsiders,heldPercentInstitutions,industry,lastSplitDate,lastSplitFactor, netIncomeToCommon ,numberOfAnalystOpinions, operatingCashflow ,operatingMargins,overallRisk, pegRatio , priceHint , priceToBook ,profitMargins, quickRatio ,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth, revenuePerShare ,sector,shareHolderRightsRisk, sharesOutstanding ,sharesPercentSharesOut, sharesShort , sharesShortPriorMonth ,shortPercentOfFloat, shortRatio , targetHighPrice , targetLowPrice , targetMeanPrice , targetMedianPrice , totalCash , totalCashPerShare , totalDebt , totalRevenue , trailingEps 
ABT,148.36%,11.44%,176.73%, 1.32 ,10.04%,144.06%, 67.91 ,26.9%,15.6%,2, 1.74 ,8, 17.43 ,9, 66.64 , 1.58 ,67.914,159.5%,159.0%," 6,840,000,000.00 ",0.23128,19.589,4.53," 133,986,476,032.00 ",USD," 1,740,354,902.00 ", 3.23 , 20.63 ," 5,040,999,936.00 "," 99,000.00 ",58.428%," 15,972,000,000.00 ",0.72%,74.53%,Medical Devices,1357084800,10000/4798," 812,000,000.00 ",16," 5,997,000,192.00 ",11.97%,8, 1.93 , 2.00 , 3.82 ,3.13%, 0.95 ,buy,1.8,3.17%,2.63%,17.00%, 16.89 ,Healthcare,7," 1,754,320,000.00 ",0.66%," 11,652,061.00 "," 11,803,752.00 ",0.68%, 2.30 , 77.00 , 66.00 , 71.31 , 72.00 ," 3,264,000,000.00 ", 1.86 ," 20,899,999,744.00 "," 29,575,000,064.00 ", 0.52 
DE,19.60%,-0.84%,42.47%, 7.12 ,6.64%,1080.35%, 411.39 ,26.7%,15.2%,1, 0.72 ,6, 32.20 ,1, 148.60 , 1.93 ,411.393,41.1%,41.8%," 4,911,099,904.00 ",0.14024,17.781,2.494," 87,326,162,944.00 ",USD," 289,802,110.00 ", 11.66 , 12.74 ," (1,738,775,040.00)"," 60,476.00 ",21.958%," 6,709,500,000.00 ",0.12%,78.39%,Farm & Construction Equipment,1196726400,1-Feb," 2,093,400,064.00 ",18," 795,800,000.00 ",8.99%,2, 0.58 , 2.00 , 4.62 ,5.98%, 1.68 ,buy,2.1,2.99%,22.11%,30.40%, 108.44 ,Industrials,4," 321,673,984.00 ",1.64%," 5,276,875.00 "," 7,466,063.00 ",1.64%, 1.88 , 221.00 , 145.00 , 176.83 , 178.50 ," 2,888,300,032.00 ", 8.98 ," 42,702,200,832.00 "," 35,020,500,992.00 ", 6.39 
HMN,-20.95%,-29.14%,32.80%, 4.71 ,10.18%,1.27%, 22.04 ,26.6%,15.2%,2, 0.50 ,1, 32.93 ,2, 45.90 , 0.27 ,22.037,180.0%,161.7%," 118,267,504.00 ",0.099,17.15,1.698," 2,028,238,592.00 ",USD," 40,645,011.00 ", 2.53 , 18.14 ," 43,489,248.00 "," 1,496.00 ",25.364%," 288,400,000.00 ",1.49%,103.97%,Insurance - Diversified,882230400,1-Feb," 177,952,000.00 ",1," 253,442,000.00 ",9.36%,1, 1.82 , 2.00 , 1.39 ,14.90%, 0.25 ,hold,3,0.63%,13.12%,5.10%, 28.79 ,Financial Services,3," 41,014,600.00 ",0.51%," 209,526.00 "," 377,567.00 ",0.59%, 2.02 , 41.00 , 41.00 , 41.00 , 41.00 ," 184,744,000.00 ", 4.50 ," 297,603,008.00 "," 1,194,556,032.00 ", 4.28 
HBAN,5.99%,29.40%,36.77%, 9.88 ,24.75%,6.28%, -   ,26.2%,15.2%,1, 1.56 ,3, 9.30 ,1, 16.25 ,,,30.4%,30.5%,,0,,7.174," 29,829,683,200.00 ",USD," 1,092,930,365.00 ", 1.38 , 11.78 ,," 15,732.00 ",0.000%," 4,107,000,000.00 ",1.10%,80.07%,Banks - Regional - US,963360000,10-Nov," 1,316,000,000.00 ",22," 1,996,999,936.00 ",41.39%,7, 0.91 , 2.00 , 1.75 ,33.36%,,buy,2.2,1.34%,12.54%,1.20%, 3.82 ,Financial Services,10," 1,104,230,016.00 ",2.52%," 27,793,670.00 "," 10,384,010.00 ",2.92%, 3.16 , 19.00 , 16.00 , 17.53 , 17.38 ," 1,687,000,064.00 ", 1.53 ," 12,369,999,872.00 "," 4,158,000,128.00 ", 1.18 
FFBC,-39.33%,-29.25%,32.08%, 8.79 ,26.26%,6.23%, -   ,26.1%,15.2%,1, 0.99 ,3, 20.56 ,1, 30.90 ,,,0.2%,60.2%,,0,,10.978," 4,462,651,904.00 ",USD," 95,652,259.00 ", 2.35 , 13.15 ,," 2,118.00 ",0.000%," 344,777,000.00 ",1.34%,75.88%,Banks - Regional - US,983923200,105/100," 116,561,000.00 ",8," 193,838,000.00 ",34.04%,3, 1.38 , 2.00 , 1.50 ,28.67%,,hold,2.6,1.03%,8.01%,73.70%, 5.76 ,Financial Services,7," 97,901,000.00 ",1.73%," 1,694,306.00 "," 1,580,513.00 ",3.25%, 5.42 , 35.00 , 31.00 , 33.63 , 34.00 ," 254,582,000.00 ", 2.60 ," 1,657,826,048.00 "," 406,516,000.00 ", 1.63 
PAHC,1.18%,1.01%,22.75%, 3.82 ,9.13%,57.04%, 168.90 ,25.9%,15.2%,10, 0.11 ,9, 4.58 ,5, 44.55 , 2.90 ,168.897,44.4%,43.8%," 126,421,000.00 ",0.15418,16.741,2.581," 2,116,366,592.00 ",USD," 20,080,513.00 ", 1.88 , 23.70 ," 56,618,248.00 "," 1,500.00 ",32.751%," 268,550,000.00 ",0.21%,101.15%,Drug Manufacturers - Specialty & Generic,,," 64,883,000.00 ",4," 70,008,000.00 ",12.32%,10, 4.11 , 2.00 , 9.72 ,7.91%, 1.50 ,underperform,3.6,9.75%,38.61%,8.70%, 20.41 ,Healthcare,10," 20,121,700.00 ",0.36%," 146,195.00 "," 173,121.00 ",0.90%, 1.50 , 46.00 , 33.00 , 40.25 , 41.00 ," 79,168,000.00 ", 1.96 ," 312,380,992.00 "," 819,982,016.00 ", 1.61 
HPQ,14.80%,-7.20%,32.41%, (5.43),6.29%,110.50%, -   ,25.8%,15.2%,5, 1.84 ,1, (1.12),8, 24.68 , 0.85 ,,31.7%,26.4%," 4,742,000,128.00 ",0.08314,8.272,0.688," 39,227,314,176.00 ",USD," 1,580,208,960.00 ", 2.18 , 11.32 ," 3,261,250,048.00 "," 49,000.00 ",18.396%," 9,578,000,000.00 ",0.17%,82.70%,Computer Systems,1446422400,2202/1000," 4,536,000,000.00 ",15," 4,240,000,000.00 ",7.48%,5, 1.25 , 2.00 ,,7.95%, 0.57 ,buy,2.1,8.05%,,11.70%, 34.82 ,Technology,4," 1,582,409,984.00 ",1.16%," 18,309,622.00 "," 24,879,010.00 ",1.12%, 3.34 , 30.00 , 22.00 , 27.07 , 28.00 ," 7,080,999,936.00 ", 4.48 ," 7,207,000,064.00 "," 57,032,998,912.00 ", 2.74 
WSBC,-26.49%,-18.05%,28.17%, 6.29 ,26.26%,2.29%, -   ,25.6%,15.2%,2, 0.62 ,7, 32.68 ,3, 47.56 ,,,18.6%,25.9%,,0,,9.752," 3,759,617,280.00 ",USD," 43,796,612.00 ", 3.25 , 14.63 ,," 2,040.00 ",0.000%," 369,149,000.00 ",3.58%,62.82%,Banks - Regional - US,870652800,2-Mar," 108,952,000.00 ",5," 151,970,000.00 ",44.37%,4, 1.63 , 2.00 , 1.46 ,28.26%,,buy,2.4,1.05%,7.51%,13.20%, 8.63 ,Financial Services,5," 54,563,300.00 ",3.42%," 1,593,214.00 "," 1,607,360.00 ",3.77%, 13.53 , 55.00 , 48.00 , 50.60 , 50.00 ," 166,750,000.00 ", 3.58 ," 1,682,827,008.00 "," 385,529,984.00 ", 2.43 
PXD,-219.78%,5.34%,-1.68%, 0.63 ,-3.20%,-0.65%, 19.90 ,25.6%,15.2%,1, 1.25 ,4, 67.38 ,2, 166.42 , 1.09 ,19.897,-72.0%,-71.7%," 1,923,000,064.00 ",0.2473,14.946,3.696," 28,741,373,952.00 ",USD," 168,869,317.00 ", 10.81 , 15.40 ," (373,875,008.00)"," 3,836.00 ",45.820%," 2,679,000,000.00 ",0.83%,91.36%,Oil & Gas E&P,,," 880,000,000.00 ",38," 2,699,000,064.00 ",5.67%,4, 0.26 , 2.00 , 2.47 ,11.39%, 0.90 ,buy,1.8,1.64%,8.00%,113.20%, 45.74 ,Energy,7," 170,400,992.00 ",2.48%," 4,224,494.00 "," 4,020,234.00 ",2.50%, 3.31 , 324.00 , 140.00 , 243.54 , 238.50 ," 1,183,000,064.00 ", 6.94 ," 2,284,999,936.00 "," 7,776,000,000.00 ", 5.15 
AXP,43.84%,6.41%,30.25%, 7.50 ,14.62%,180.53%, 277.13 ,25.2%,15.6%,2, 1.16 ,5, 24.27 ,10, 108.29 , 1.94 ,277.13,25.2%,20.8%,,0,,3.736," 119,115,636,736.00 ",USD," 706,761,939.00 ", 8.04 , 13.47 ,," 55,000.00 ",69.457%," 21,419,000,000.00 ",0.27%,84.65%,Credit Services,1128297600,10000/8753," 3,291,000,064.00 ",25," 14,352,000,000.00 ",24.72%,9, 1.23 , 2.00 , 4.46 ,10.66%, 1.93 ,buy,2.4,1.93%,16.16%,7.10%, 36.86 ,Financial Services,4," 861,054,016.00 ",0.67%," 5,794,206.00 "," 5,715,868.00 ",0.82%, 1.83 , 130.00 , 87.00 , 111.80 , 113.00 ," 30,122,999,808.00 ", 34.98 ," 57,898,000,384.00 "," 31,879,999,488.00 ", 3.79 
ECA,-97.80%,-26.48%,-0.48%, 1.40 ,-47.85%,-362.36%, 68.52 ,24.7%,15.2%,1, 2.64 ,2, 6.79 ,2, 12.26 , 0.73 ,68.524,,," 1,539,000,064.00 ",0.33261,10.448,3.475," 16,079,870,976.00 ",USD," 884,915,200.00 ", 1.06 , 11.57 ," (215,250,000.00)"," 2,107.00 ",45.407%," 1,710,000,000.00 ",0.09%,72.97%,Oil & Gas E&P,1116806400,1-Feb," 65,000,000.00 ",27," 1,582,000,000.00 ",10.35%,2, 0.44 , 2.00 , 1.80 ,1.40%, 0.66 ,buy,1.8,1.99%,0.98%,36.30%, 4.77 ,Energy,6," 956,300,032.00 ",0.77%," 7,399,783.00 "," 8,941,826.00 ",0.76%, 0.94 , 21.00 , 14.50 , 17.43 , 17.00 ," 336,000,000.00 ", 0.35 ," 4,451,999,744.00 "," 4,626,999,808.00 ", 0.07 
NDAQ,126.34%,-4.58%,73.33%, 1.47 ,11.33%,261.12%, 69.42 ,24.5%,15.2%,1, 0.43 ,1, 33.69 ,6, 93.76 , 0.93 ,69.415,11.5%,11.0%," 1,314,000,000.00 ",0.31435,14.214,4.468," 18,677,452,800.00 ",USD," 114,647,624.00 ", 5.29 , 17.72 ," 817,374,976.00 "," 4,069.00 ",60.574%," 2,428,000,000.00 ",18.48%,79.16%,Financial Exchanges,,," 759,000,000.00 ",14," 1,049,000,000.00 ",26.60%,1, 1.57 , 2.00 , 2.78 ,18.16%, 0.14 ,buy,2.5,4.66%,13.65%,3.30%, 25.10 ,Financial Services,2," 164,508,992.00 ",2.13%," 3,512,153.00 "," 3,707,695.00 ",3.00%, 4.42 , 107.00 , 90.00 , 99.00 , 99.50 ," 482,000,000.00 ", 2.93 ," 3,847,000,064.00 "," 4,180,000,000.00 ", 4.50 
ACN,4.83%,8.33%,39.56%, 1.66 ,10.74%,4754.15%, 0.28 ,24.5%,15.6%,1, 0.95 ,6, 15.29 ,3, 170.70 , 1.29 ,0.284,52.6%,55.8%," 6,276,057,088.00 ",0.1627,16.696,2.716," 104,783,380,480.00 ",USD," 639,505,028.00 ", 7.28 , 23.45 ," 4,584,448,000.00 "," 449,000.00 ",31.385%," 11,030,492,000.00 ",0.21%,73.71%,Information Technology Services,1325203200,10-Jan," 3,962,835,968.00 ",24," 5,859,315,200.00 ",14.74%,3, 2.47 , 2.00 , 11.17 ,10.27%, 1.19 ,buy,2.3,16.01%,43.61%,16.30%, 61.96 ,Technology,3," 640,748,032.00 ",1.13%," 7,221,518.00 "," 8,430,257.00 ",1.17%, 3.82 , 190.00 , 127.00 , 171.96 , 170.50 ," 3,932,105,984.00 ", 6.14 ," 28,798,000.00 "," 38,573,621,248.00 ", 6.24 
GNTX,-4.08%,7.52%,28.77%, 0.20 ,21.33%,311.50%, 1.20 ,24.4%,15.2%,2, 1.34 ,3, 7.15 ,9, 23.34 , 4.40 ,1.203,29.5%,23.1%," 623,316,352.00 ",0.34275,9.412,3.226," 5,866,862,080.00 ",USD," 268,407,696.00 ", 1.80 , 12.97 ," 230,857,312.00 "," 5,481.00 ",38.324%," 694,528,266.00 ",0.37%,88.06%,Auto Parts,1420156800,1-Feb," 440,971,968.00 ",9," 529,829,600.00 ",28.50%,6, 0.94 , 2.00 , 3.27 ,24.25%, 3.30 ,hold,2.8,14.22%,22.47%,2.70%, 6.52 ,Consumer Cyclical,5," 268,916,000.00 ",5.17%," 13,914,567.00 "," 11,581,147.00 ",5.09%, 6.27 , 29.00 , 12.50 , 23.06 , 25.00 ," 467,719,936.00 ", 1.74 ," 23,125,000.00 "," 1,818,599,808.00 ", 1.57 
WTFC,-0.68%,18.01%,17.81%, 9.31 ,20.43%,9.77%, -   ,24.2%,15.2%,1, 0.68 ,1, 52.94 ,2, 90.30 ,,,37.8%,38.0%,,0,,4.078," 4,935,921,664.00 ",USD," 55,613,983.00 ", 6.52 , 13.85 ,," 4,075.00 ",0.000%," 1,120,586,000.00 ",1.22%,90.47%,Banks - Regional - US,1016150400,2-Mar," 297,768,000.00 ",12," 377,966,016.00 ",37.63%,2, 1.47 , 2.00 , 1.71 ,25.28%,,buy,2.5,1.09%,10.29%,14.80%, 21.60 ,Financial Services,5," 56,364,800.00 ",1.78%," 1,001,925.00 "," 1,092,966.00 ",2.06%, 2.62 , 107.00 , 90.00 , 98.71 , 98.00 ," 1,619,067,008.00 ", 28.73 ," 1,384,779,008.00 "," 1,210,369,024.00 ", 5.22 
THG,8.60%,-26.97%,24.74%, 3.99 ,4.44%,1.37%, 26.77 ,24.1%,15.2%,1, 0.82 ,1, 69.17 ,2, 118.45 , 0.43 ,26.774,25.8%,26.7%," 409,100,000.00 ",0.07645,14.005,1.071," 5,729,305,600.00 ",USD," 42,137,632.00 ", 8.56 , 13.84 ," 547,699,968.00 "," 4,600.00 ",18.912%," 969,100,000.00 ",0.64%,87.13%,Insurance - Property & Casualty,,," 246,400,000.00 ",3," 638,099,968.00 ",7.11%,2, (13.08), 2.00 , 1.71 ,4.29%, 0.17 ,hold,2.6,1.57%,8.34%,7.60%, 125.91 ,Financial Services,5," 42,535,800.00 ",0.88%," 376,173.00 "," 484,301.00 ",0.89%, 3.00 , 140.00 , 132.00 , 135.67 , 135.00 ," 237,800,000.00 ", 5.59 ," 787,100,032.00 "," 5,351,099,904.00 ", 5.34 
NAVG,86.80%,22.93%,8.66%, 3.18 ,5.89%,3.76%, 21.39 ,24.1%,15.2%,1, 0.32 ,3, 41.49 ,2, 69.55 , 1.32 ,21.39,55.1%,56.6%," 116,128,000.00 ",0.08316,18.646,1.551," 2,165,332,224.00 ",USD," 22,666,234.00 ", 3.47 , 20.04 ," 269,695,360.00 ", 732.00 ,25.662%," 327,726,000.00 ",21.94%,77.17%,Insurance - Property & Casualty,1485129600,1-Feb," 61,864,000.00 ",2," 275,160,000.00 ",8.11%,2, 2.46 , 2.00 , 1.68 ,4.43%, 0.47 ,hold,2.8,1.34%,4.99%,12.90%, 47.20 ,Financial Services,4," 29,766,700.00 ",0.24%," 71,054.00 "," 106,246.00 ",0.35%, 0.89 , 70.00 , 68.00 , 69.00 , 69.00 ," 182,202,000.00 ", 6.12 ," 263,967,008.00 "," 1,396,441,984.00 ", 2.06 
SUP,-305.49%,0.30%,-63.30%, 1.04 ,2.79%,1162.43%, 117.02 ,23.7%,15.2%,1, 1.77 ,2, 14.77 ,3, 18.85 , 2.33 ,117.022,,," 194,868,000.00 ",0.13269,6.834,0.907," 1,331,823,616.00 ",USD," 24,611,924.00 ", 0.87 , 21.67 ," 109,778,872.00 "," 8,000.00 ",11.381%," 103,035,000.00 ",7.89%,87.61%,Auto Parts,743212800,2-Mar," (14,048,000.00)",4," 104,604,000.00 ",6.73%,1, 30.00 , 2.00 , 1.28 ,1.12%, 1.11 ,buy,2,3.92%,2.77%,61.60%, 58.90 ,Consumer Cyclical,1," 25,019,200.00 ",4.04%," 1,010,733.00 "," 1,143,992.00 ",4.69%, 6.14 , 35.00 , 24.00 , 29.75 , 30.00 ," 19,817,000.00 ", 0.79 ," 673,025,024.00 "," 1,468,599,040.00 ", (0.57)
CFR,-4.75%,4.04%,46.33%, 9.30 ,29.03%,3.15%, -   ,23.5%,15.2%,2, 1.57 ,9, 49.53 ,1, 110.31 ,,,31.2%,30.1%,,0,,4.222," 5,168,589,312.00 ",USD," 57,139,311.00 ", 7.39 , 14.93 ,," 4,270.00 ",0.000%," 1,167,432,000.00 ",10.76%,82.22%,Banks - Regional - US,930096000,1-Feb," 400,836,992.00 ",13," 603,617,984.00 ",39.36%,6, 1.20 , 2.00 , 2.23 ,33.62%,,hold,2.9,1.35%,12.60%,9.30%, 19.24 ,Financial Services,3," 63,907,800.00 ",2.52%," 1,609,614.00 "," 2,133,764.00 ",2.62%, 4.25 , 125.00 , 110.00 , 119.31 , 118.00 ," 3,360,482,048.00 ", 52.58 ," 1,270,370,944.00 "," 1,224,066,048.00 ", 6.24 
RICK,29.49%,11.91%,10.40%, 1.18 ,6.94%,0.00%, 82.74 ,23.4%,15.2%,10, 0.84 ,9, 16.08 ,6, 29.61 , 1.24 ,82.736,39.2%,40.3%," 45,166,000.00 ",0.27493,9.301,2.557," 420,100,864.00 ",USD," 8,313,385.00 ", 2.46 , 12.04 ," 3,395,875.00 "," 2,130.00 ",84.684%," 122,084,000.00 ",7.47%,51.79%,Restaurants,921542400,2-Jan," 22,146,000.00 ",2," 25,608,000.00 ",22.75%,9, 0.35 , 2.00 , 1.84 ,13.48%, 0.72 ,buy,2,7.50%,14.96%,13.90%, 16.90 ,Consumer Cyclical,7," 9,718,710.00 ",0.98%," 95,687.00 "," 85,603.00 ",1.06%, 2.58 , 38.00 , 34.00 , 36.00 , 36.00 ," 13,171,000.00 ", 1.36 ," 131,255,000.00 "," 164,282,000.00 ", 2.28 
BPOP,408.77%,235.03%,40.55%, 6.77 ,24.13%,4.97%, -   ,23.1%,15.2%,1, 0.86 ,3, 51.22 ,4, 50.77 ,,,191.1%,190.8%,,0,,-1.153," (1,974,228,224.00)",USD," 101,162,244.00 ", 5.50 , 9.23 ,," 7,958.00 ",0.000%," 1,666,758,000.00 ",1.25%,88.89%,Banks - Regional - US,1338336000,10-Jan," 285,894,016.00 ",10," 625,753,984.00 ",29.01%,4, 2.22 , 2.00 , 0.99 ,16.91%,,buy,1.7,0.65%,5.48%,10.80%, 16.83 ,Financial Services,6," 102,318,000.00 ",1.68%," 1,715,470.00 "," 1,814,580.00 ",1.70%, 2.67 , 61.00 , 54.00 , 57.80 , 58.00 ," 9,085,800,448.00 ", 88.80 ," 1,869,773,952.00 "," 1,712,316,032.00 ", 2.81 
AAON,5.24%,12.50%,24.92%, 0.27 ,13.37%,81.17%, -   ,23.0%,15.6%,2, 0.62 ,7, 4.56 ,4, 39.50 , 2.16 ,,-15.4%,-15.2%," 76,843,000.00 ",0.18017,26.481,4.771," 2,034,902,784.00 ",USD," 40,604,496.00 ", 1.41 , 28.01 ," 3,924,375.00 "," 1,991.00 ",25.723%," 123,397,000.00 ",22.05%,72.49%,Building Materials,1405555200,2-Mar," 46,438,000.00 ",2," 60,480,000.00 ",14.23%,6, 3.78 , 2.00 , 8.66 ,10.89%, 1.15 ,hold,3,12.53%,20.36%,8.20%, 8.13 ,Basic Materials,8," 52,264,800.00 ",8.90%," 4,653,990.00 "," 4,510,687.00 ",11.37%, 25.20 , 33.00 , 32.00 , 32.50 , 32.50 ," 24,329,000.00 ", 0.47 , -   ," 426,497,984.00 ", 0.88 
FRME,23.34%,43.84%,28.15%, 6.71 ,27.39%,8.25%, -   ,22.5%,15.2%,1, 0.88 ,6, 27.20 ,8, 48.04 ,,,40.4%,64.2%,,0,,7.89," 3,038,335,232.00 ",USD," 48,968,288.00 ", 3.44 , 13.97 ,," 1,684.00 ",0.000%," 339,150,000.00 ",1.14%,71.59%,Banks - Regional - US,1061942400,105/100," 125,054,000.00 ",6," 150,728,992.00 ",44.85%,7, 2.15 , 2.00 , 1.77 ,32.47%,,buy,2.5,1.43%,10.53%,28.50%, 7.85 ,Financial Services,7," 49,560,500.00 ",1.37%," 677,024.00 "," 557,219.00 ",1.38%, 3.98 , 56.00 , 49.00 , 51.83 , 51.50 ," 184,019,008.00 ", 3.71 ," 852,739,968.00 "," 385,107,008.00 ", 2.54 
ZTO,-84.74%,-50.00%,2.88%, 0.29 ,22.35%,190.29%, -   ,22.5%,15.2%,,,, 5.82 ,, 17.41 , 4.72 ,,107.6%,108.0%," 720,244,736.00 ",0.3114,16.029,4.992," 11,544,969,216.00 ",CNY," 362,441,727.00 ", 0.99 , 17.59 ," 26,471,446.00 "," 16,023.00 ",32.730%," 4,345,584,000.00 ",0.29%,28.14%,Integrated Shipping & Logistics,,," 606,042,368.00 ",15," 621,056,512.00 ",26.67%,, 41.60 , 2.00 , 2.99 ,26.20%, 4.36 ,buy,2,8.73%,15.76%,41.30%, 3.24 ,Industrials,," 787,164,032.00 ",1.94%," 15,388,264.00 "," 14,523,814.00 ",, 4.51 , 27.00 , 14.74 , 23.66 , 24.41 ," 2,381,150,720.00 ", 3.03 , -   ," 2,312,887,808.00 ", 0.85 
ZION,1.80%,10.60%,26.59%, 8.03 ,19.53%,4.68%, -   ,22.2%,15.2%,1, 1.53 ,7, 36.11 ,5, 53.17 ,,,21.9%,17.3%,,0,,4.926," 13,473,692,672.00 ",USD," 191,478,993.00 ", 4.14 , 12.84 ,," 10,217.00 ",0.000%," 2,585,000,000.00 ",1.83%,97.07%,Banks - Regional - US,863654400,1-Apr," 681,000,000.00 ",25," 790,000,000.00 ",41.57%,7, 1.35 , 2.00 , 1.47 ,26.29%,,buy,2.2,1.09%,9.36%,4.30%, 13.83 ,Financial Services,8," 194,403,008.00 ",12.94%," 25,146,453.00 "," 26,624,590.00 ",14.75%, 9.83 , 69.00 , 49.00 , 59.60 , 61.00 ," 1,960,000,000.00 ", 10.08 ," 4,610,999,808.00 "," 2,735,000,064.00 ", 3.23 
UFCS,-8.07%,-25.47%,24.53%, 3.34 ,5.95%,1.90%, -   ,22.0%,15.2%,1, 0.17 ,2, 38.52 ,4, 50.91 , 0.30 ,,-94.7%,-94.7%," 21,296,000.00 ",0.019919999,54.098,1.078," 1,152,073,984.00 ",USD," 21,259,911.00 ", 1.95 , 26.11 ," 96,736,872.00 "," 1,164.00 ",1.566%," 15,650,000.00 ",16.90%,63.66%,Insurance - Property & Casualty,1103155200,1-Feb," 46,698,000.00 ",1," 123,607,000.00 ",1.57%,3, 2.73 , 2.00 , 1.32 ,6.93%, 0.26 ,hold,3,0.29%,4.85%,6.50%, 42.88 ,Financial Services,6," 25,050,300.00 ",0.72%," 181,492.00 "," 107,464.00 ",0.88%, 2.42 , 52.00 , 52.00 , 52.00 , 52.00 ," 115,720,000.00 ", 4.62 , -   ," 1,069,166,016.00 ", 2.89 
RVSB,-6.95%,20.54%,21.68%, 8.52 ,17.40%,6.89%, -   ,21.8%,15.2%,2, 0.69 ,7, 5.31 ,4, 9.58 ,,,66.9%,67.4%,,0,,3.873," 213,749,696.00 ",USD," 19,720,287.00 ", 0.77 , 12.44 ,, 258.00 ,0.000%," 53,615,000.00 ",6.52%,61.94%,Savings & Cooperative Banks,1156464000,1-Feb," 12,030,000.00 ",1," 16,931,000.00 ",36.89%,7, 1.13 , 2.00 , 1.80 ,21.80%,,buy,2,1.06%,10.29%,11.90%, 2.45 ,Financial Services,9," 22,576,700.00 ",0.37%," 83,005.00 "," 74,196.00 ",0.40%, 1.95 , 10.00 , 10.00 , 10.00 , 10.00 ," 38,239,000.00 ", 1.69 ," 28,931,000.00 "," 55,183,000.00 ", 0.53 
IBCP,24.66%,29.78%,35.06%, 9.12 ,17.18%,5.86%, -   ,21.1%,15.2%,2, 0.12 ,7, 13.96 ,3, 24.70 ,,,33.3%,48.7%,,0,,4.294," 613,956,224.00 ",USD," 23,444,926.00 ", 2.02 , 12.23 ,, 756.00 ,0.000%," 130,520,000.00 ",4.32%,76.80%,Banks - Regional - US,,," 26,548,000.00 ",5," 38,562,000.00 ",33.04%,5, 1.80 , 2.00 , 1.77 ,18.57%,,hold,2.8,0.90%,8.86%,29.60%, 6.49 ,Financial Services,5," 24,150,900.00 ",0.53%," 127,681.00 "," 201,406.00 ",0.63%, 1.13 , 29.00 , 27.00 , 27.50 , 27.00 ," 67,496,000.00 ", 2.80 ," 82,511,000.00 "," 142,980,000.00 ", 1.19 
DXC,-156.02%,26.44%,-4.01%, 2.58 ,3.02%,0.00%, 59.71 ,20.8%,15.2%,2, 1.00 ,4, 40.71 ,7, 90.04 , 0.95 ,59.709,62.5%,62.9%," 5,421,000,192.00 ",0.22035,5.567,1.227," 30,177,697,792.00 ",USD," 280,244,146.00 ", 9.19 , 9.80 ," 4,576,750,080.00 "," 150,000.00 ",28.859%," 6,612,000,000.00 ",0.31%,87.51%,Information Technology Services,1448841600,2373/1000," 1,880,999,936.00 ",17," 3,196,999,936.00 ",13.43%,4, 0.36 , 2.00 , 2.21 ,7.52%, 0.84 ,buy,2.2,6.84%,15.77%,0.90%, 86.30 ,Technology,1," 281,160,992.00 ",1.57%," 4,409,163.00 "," 6,886,667.00 ",1.56%, 2.50 , 125.00 , 85.00 , 103.94 , 103.00 ," 2,579,000,064.00 ", 9.17 ," 7,054,000,128.00 "," 24,601,999,360.00 ", 6.39 
RBNC,53.25%,68.20%,29.15%, 7.54 ,18.19%,6.17%, -   ,20.8%,15.2%,2, 0.38 ,6, 17.62 ,9, 27.93 ,,,-33.0%,-2.2%,,0,,7.53," 395,974,080.00 ",USD," 9,384,207.00 ", 1.57 , 17.79 ,, 167.00 ,0.000%," 39,181,000.00 ",12.75%,28.96%,Banks - Regional - US,,," 8,881,000.00 ",3," (11,447,000.00)",26.88%,6,, 2.00 , 1.59 ,16.89%,,hold,2.7,0.55%,4.63%,61.90%, 5.28 ,Financial Services,3," 11,527,100.00 ",2.02%," 233,414.00 "," 222,835.00 ",2.33%, 15.59 , 32.00 , 27.00 , 29.67 , 30.00 ," 36,898,000.00 ", 3.20 ," 114,609,000.00 "," 52,586,000.00 ", 0.88 
