,payoutChange,divGrowth,payoutAvg, debtEquityAvg ,netMarginAvg,roicAvg
SLF,4.08%,9.37%,44.48%, 11.79 ,10%,18%
MET,168.75%,4.02%,98.22%, 11.83 ,6%,2%
STT,10.22%,12.71%,34.03%, 11.92 ,20%,2%
BCBP,2.50%,11.81%,78.36%, 12.41 ,13%,32%
ABBV,-11.97%,15.71%,67.94%, 12.86 ,22%,2063%
BOH,-4.24%,0.97%,46.74%, 12.97 ,29%,4%
NTB,-5.94%,-10.10%,40.04%, 13.14 ,28%,3%
NTRS,-3.82%,8.66%,35.15%, 13.20 ,21%,3%
MBIN,1.84%,37.57%,16.07%, 13.30 ,44%,17%
HIG,-25.88%,6.62%,15.06%, 13.31 ,-1%,2%
MPB,-2.69%,5.20%,31.94%, 13.47 ,18%,7%
BHF,181.00%,0.00%,-125.39%, 13.61 ,-30%,-2%
BANC,32.26%,50.91%,52.82%, 14.36 ,25%,4%
SCHW,-3.78%,17.05%,25.87%, 14.57 ,25%,2%
BNS,1.03%,5.16%,48.85%, 15.75 ,31%,5%
BMO,-3.52%,3.29%,44.82%, 16.67 ,24%,5%
TD,-0.27%,9.73%,42.40%, 16.68 ,28%,3%
VIRT,855.35%,-0.20%,997.10%, 16.93 ,3%,9%
VOYA,33.75%,-7.33%,-0.17%, 17.20 ,-11%,1%
RY,-0.51%,8.04%,46.82%, 17.28 ,29%,5%
SPGI,-32.55%,8.94%,25.86%, 19.02 ,28%,4168%
CM,-15.67%,-4.24%,40.12%, 20.41 ,29%,6%
DB,63.24%,38.07%,-46.58%, 22.52 ,-10%,2%
ABC,-37.01%,14.34%,-25.24%, 25.09 ,0%,1576%
IBKR,-6.83%,6.80%,39.60%, 50.22 ,5%,3%
UPS,-4.05%,5.41%,61.87%, 52.50 ,7%,558%
BA,4.98%,17.47%,48.70%, 127.30 ,6%,344%
